period,unigram,bigram,trigram
2019-12,"says: 48,trump: 12,president: 12,would: 10,shows: 8,photo: 8,us: 8,people: 8,year: 6,virginia: 6,donald: 6,million: 6,one: 5,national: 5,every: 4,dirtier: 4,son: 4,bill: 4,state: 4,ukraine: 4,woman: 4,first: 4,west: 4,democrats: 4,adam: 4,average: 4,congress: 4,black: 4,many: 4,law: 4","says,photo: 6,donald,trump: 6,photo,shows: 5,president,donald: 4,president,trump: 3,west,virginia: 3,united,states: 3,dirtier,dirtier: 3,says,president: 3,adam,schiff: 3,halls,congress: 2,image,shows: 2,pamela,karlan: 2,says,adam: 2,taxes,paid: 2,afforded,president: 2,result,lower: 2,million,people: 2,pontius,pilate: 2,says,new: 2,last,year: 2,says,former: 2,new,york: 2,one,four: 2,gas,tobacco: 1,goes,beyond: 1,beyond,gas: 1,law,goes: 1,tobacco,alcohol: 1,doorbuster,deals: 1","says,photo,shows: 5,president,donald,trump: 4,dirtier,dirtier,dirtier: 2,says,president,donald: 2,city,america,new: 1,law,goes,beyond: 1,criminalize,father,teaching: 1,father,teaching,son: 1,teaching,son,use: 1,son,use,hunting: 1,use,hunting,rifle: 1,says,minimum,markup: 1,minimum,markup,law: 1,markup,law,goes: 1,goes,beyond,gas: 1,bill,would,criminalize: 1,beyond,gas,tobacco: 1,gas,tobacco,alcohol: 1,tobacco,alcohol,make: 1,alcohol,make,many: 1,make,many,doorbuster: 1,many,doorbuster,deals: 1,doorbuster,deals,holiday: 1,deals,holiday,shopping: 1,holiday,shopping,specials: 1,shopping,specials,technically: 1,specials,technically,law: 1,would,criminalize,father: 1,senate,bill,would: 1,republican,votes,recovery: 1"
2020-01,"says: 78,shows: 20,us: 17,trump: 17,president: 14,photo: 10,obama: 9,australia: 9,video: 8,bryant: 8,iran: 8,biden: 8,million: 8,kobe: 8,house: 7,country: 7,impeachment: 7,iraq: 7,donald: 7,every: 7,coronavirus: 6,nancy: 6,clinton: 6,said: 6,tax: 6,iranian: 6,hillary: 6,states: 6,security: 6,wildfires: 6","video,shows: 8,says,photo: 7,kobe,bryant: 7,australia,wildfires: 6,photo,shows: 6,says,video: 6,hillary,clinton: 5,helicopter,crash: 5,united,states: 5,social,security: 5,joe,biden: 5,nancy,pelosi: 5,barack,obama: 5,donald,trump: 4,iranian,rockets: 4,qassem,soleimani: 4,president,donald: 4,rockets,launched: 4,toward,us: 4,launched,toward: 4,says,kobe: 3,alexandria,ocasiocortez: 3,says,joe: 3,says,democratic: 3,image,shows: 3,says,us: 3,us,air: 3,new,york: 2,shows,animals: 2,president,trump: 2","says,video,shows: 6,says,photo,shows: 6,iranian,rockets,launched: 4,rockets,launched,toward: 4,launched,toward,us: 4,says,kobe,bryant: 3,toward,us,air: 3,says,joe,biden: 3,nancy,pelosi,said: 2,says,alexandria,ocasiocortez: 2,crash,killed,kobe: 2,killed,kobe,bryant: 2,photo,shows,barack: 2,video,shows,iranian: 2,shows,barack,obama: 2,rep,rashida,tlaib: 2,says,president,donald: 2,pelosi,said,impeachment: 2,says,image,shows: 2,president,donald,trump: 2,kobe,bryant,daughter: 2,shows,iranian,rockets: 2,says,nancy,pelosi: 2,president,donald,trump’s: 2,says,us,rep: 2,helicopter,crash,killed: 2,per,month,increase: 2,indictments,three,recent: 2,show,iranian,rockets: 2,photos,show,iranian: 2"
2020-02,"says: 77,trump: 20,president: 18,coronavirus: 17,shows: 13,photo: 11,care: 11,people: 11,said: 11,bernie: 11,nancy: 11,health: 10,trump’s: 10,state: 10,pelosi: 10,—: 9,sanders: 9,white: 9,house: 8,donald: 8,two: 7,bloomberg: 7,us: 7,million: 7,senator: 6,mitt: 6,many: 6,would: 6,obama: 6,united: 6","bernie,sanders: 9,photo,shows: 8,nancy,pelosi: 8,says,photo: 7,health,care: 7,pete,buttigieg: 6,white,house: 5,mike,bloomberg: 5,says,coronavirus: 5,mitt,romney: 5,donald,trump: 5,president,donald: 4,state,union: 4,says,bernie: 4,works,white: 4,maxine,waters: 3,nancy,pelosi’s: 3,senator,mitt: 3,trump,supporters: 3,donald,trump’s: 3,corona,virus: 3,united,states: 3,north,carolina: 3,amy,klobuchar: 2,shows,democratic: 2,sanders,said: 2,us,rep: 2,carbon,emissions: 2,daughter,works: 2,says,us: 2","says,photo,shows: 5,says,bernie,sanders: 4,works,white,house: 4,president,donald,trump’s: 3,senator,mitt,romney: 3,scientists,shocked,discover: 2,nancy,pelosi,ripped: 2,president,united,states’: 2,speaker,nancy,pelosi: 2,bernie,sanders,said: 2,says,mike,bloomberg: 2,says,kobe,bryant’s: 2,copy,state,union: 2,state,union,address: 2,trump’s,state,union: 2,buttigieg,military,uniform: 2,pete,buttigieg,military: 2,says,nancy,pelosi: 2,photo,pete,buttigieg: 2,says,maxine,waters: 2,white,house,barr’s: 2,kills,corona,virus: 2,higher,country,world: 1,reduced,rate,far: 1,rate,far,higher: 1,far,higher,country: 1,billion,year,save: 1,country,billion,year: 1,all’,lower,health: 1,‘medicare,all’,lower: 1"
2020-03,"says: 81,coronavirus: 76,people: 29,joe: 20,biden: 19,trump: 19,us: 19,covid: 17,bernie: 14,sanders: 13,president: 13,donald: 12,flu: 11,test: 11,virus: 10,pandemic: 10,voted: 9,two: 9,saying: 9,—: 9,health: 9,million: 9,obama: 8,years: 8,outbreak: 8,new: 8,get: 8,bill: 7,china: 7,state: 7","joe,biden: 17,bernie,sanders: 12,donald,trump: 12,swine,flu: 6,says,joe: 6,novel,coronavirus: 5,president,donald: 5,barack,obama: 4,says,president: 4,united,states: 4,video,shows: 4,tony,evers: 3,gov,tony: 3,sanders,voted: 3,says,donald: 3,says,coronavirus: 3,us,deaths: 3,shows,joe: 3,biden,saying: 3,test,coronavirus: 3,says,bernie: 3,starting,march: 3,sick,leave: 3,president,trump: 3,student,loans: 3,two,weeks: 3,coronavirus,cases: 3,paid,sick: 3,says,nancy: 3,health,insurance: 2","says,joe,biden: 6,president,donald,trump: 5,video,shows,joe: 3,shows,joe,biden: 3,says,bernie,sanders: 3,bernie,sanders,voted: 3,says,president,donald: 3,gov,tony,evers: 3,says,donald,trump: 3,paid,sick,leave: 3,joe,biden,saying: 3,saying,reelect,donald: 2,reelect,donald,trump: 2,biden,saying,reelect: 2,donald,trump,tweeted: 2,says,gov,tony: 2,avoid,spread,covid: 2,coronavirus,starting,march: 2,side,gets,machines: 2,going,door,door: 2,world,health,organization: 2,us,deaths,panic: 2,deaths,panic,level: 2,blood,test,coronavirus: 2,says,nancy,pelosi: 2,didn’t,vote,milwaukee: 1,us,adding,unforeseen: 1,adding,unforeseen,thing: 1,blacks,didn’t,vote: 1,says,blacks,didn’t: 1"
2020-04,"says: 66,covid: 39,coronavirus: 31,people: 24,trump: 17,pandemic: 12,new: 11,even: 10,government: 10,president: 10,get: 9,china: 9,wisconsin: 9,said: 9,shows: 9,health: 9,death: 9,us: 8,states: 8,york: 8,bill: 8,jan: 7,don’t: 7,money: 7,photo: 7,virus: 7,feb: 7,getting: 7,per: 6,masks: 6","new,york: 8,photo,shows: 5,feb,feb: 5,gretchen,whitmer: 4,says,video: 4,joe,biden: 4,says,nancy: 4,jan,jan: 4,york,city: 4,donald,trump: 4,says,bill: 4,anthony,fauci: 3,covid,pandemic: 3,coronavirus,pandemic: 3,dr,anthony: 3,nothing,worry: 3,video,shows: 3,nancy,pelosi: 3,north,carolina: 3,bill,gates: 3,stayathome,order: 3,coronavirus,relief: 3,death,rate: 3,infection,rate: 2,losing,money: 2,coronavirus,patients: 2,postal,service: 2,we’re,bottom: 2,trump,administration: 2,jan,feb: 2","new,york,city: 4,says,video,shows: 3,feb,feb,feb: 3,dr,anthony,fauci: 3,says,photo,shows: 2,jan,jan,feb: 2,jan,feb,feb: 2,—,getting,getting: 2,says,nancy,pelosi: 2,governor,gretchen,whitmer: 2,new,coronavirus,cases: 2,jan,jan,jan: 2,says,bill,gates: 2,gov,gretchen,whitmer: 2,says,nancy,pelosi’s: 2,chemically,dependent,alcohol: 1,withdrawal,flood,emergency: 1,factor,whether,really: 1,like,factor,whether: 1,obesity,like,factor: 1,stores,deemed,essential: 1,deemed,essential,lot: 1,essential,lot,people: 1,flood,emergency,rooms: 1,go,withdrawal,flood: 1,dependent,alcohol,suddenly: 1,lot,people,chemically: 1,would,go,withdrawal: 1,access,would,go: 1,people,chemically,dependent: 1"
2020-05,"says: 38,covid: 33,coronavirus: 21,people: 18,trump: 15,new: 14,bill: 13,shows: 11,going: 10,biden: 10,gov: 10,us: 9,joe: 9,deaths: 9,gates: 9,photo: 9,president: 9,year: 8,vaccine: 8,masks: 8,state: 8,donald: 7,cases: 7,vote: 7,house: 7,said: 7,billion: 7,city: 6,china: 6,foundation: 6","joe,biden: 8,photo,shows: 8,donald,trump: 7,new,york: 6,says,president: 5,bill,gates: 5,president,donald: 5,gates,foundation: 4,covid,vaccine: 3,last,year: 3,barack,obama: 3,coronavirus,vaccine: 3,says,gov: 3,gov,tony: 3,nancy,pelosi: 3,covid,cases: 3,pelosi,said: 2,gov,gretchen: 2,says,dont: 2,secretary,says: 2,southern,border: 2,million,people: 2,deaths,covid: 2,flu,killed: 2,city,could: 2,brian,kemp: 2,positive,covid: 2,clinton,foundation: 2,kansas,city: 2,george,floyd: 2","president,donald,trump: 5,says,president,donald: 4,says,gov,tony: 3,shows,donald,trump: 2,joe,biden,said: 2,secretary,says,dont: 2,photo,shows,donald: 2,says,joe,biden: 2,best,numbers,weve: 2,nancy,pelosi,said: 2,numbers,weve,ever: 2,like,new,york: 2,new,york,city: 2,gov,tony,evers: 2,order,long,new: 1,‘pushed,for’,new: 1,technology,permanently,alter: 1,claims,‘pushed,for’: 1,permanently,alter,dna: 1,missouri,businesses,open: 1,ernst,claims,‘pushed: 1,joni,ernst,claims: 1,new,order,long: 1,says,joni,ernst: 1,new,guidelines,followed: 1,businesses,open,monday: 1,open,monday,may: 1,monday,may,new: 1,may,new,order: 1,long,new,guidelines: 1"
2020-06,"says: 31,trump: 17,police: 16,george: 14,people: 14,black: 12,covid: 11,donald: 11,year: 8,killed: 8,state: 8,white: 8,president: 7,antifa: 7,protesters: 7,law: 6,shows: 6,photo: 6,since: 6,years: 6,said: 6,last: 6,million: 5,floyd: 5,biden: 5,floyd’s: 5,riots: 5,soros: 5,joe: 5,training: 4","donald,trump: 11,last,year: 5,george,soros: 5,george,floyd: 5,killed,since: 4,white,people: 4,george,floyd’s: 4,people,killed: 4,joe,biden: 4,photo,shows: 4,training,people: 3,years,training: 3,says,photo: 3,require,years: 3,united,states: 3,police,officers: 3,black,people: 3,black,lives: 3,says,donald: 3,says,joe: 3,lives,matter: 3,racist,baby: 2,law,enforcement: 2,people,black: 2,police,departments: 2,slavery,secession: 2,says,president: 2,president,donald: 2,president,trump: 2,buffalo,protester: 2","require,years,training: 3,training,people,killed: 3,people,killed,since: 3,black,lives,matter: 3,says,donald,trump: 3,says,joe,biden: 2,years,training,people: 2,says,photo,shows: 2,armedrobbery,suspect,sentenced: 2,white,people,black: 2,says,george,soros: 2,president,donald,trump: 2,killed,since,cops: 2,make,abortion,crime: 1,wisconsin,law,books: 1,states,navy,seal: 1,navy,seal,team: 1,seal,team,helicopter: 1,team,helicopter,shot: 1,helicopter,shot,yesterday: 1,shot,yesterday,afghanistan: 1,yesterday,afghanistan,lost: 1,afghanistan,lost,members: 1,lost,members,team: 1,donald,trump,recruiting: 1,trump,recruiting,excited: 1,recruiting,excited,enthusiastic: 1,excited,enthusiastic,minority: 1,enthusiastic,minority,actors: 1,minority,actors,actresses: 1"
