headline,date
Says a warning label on a box of disposable masks shows that they are ineffective at protecting against the spread of COVID-19.," May 21, 2020"
“Almost 75 percent of the deaths from COVID-19 in the state of Texas are a result of people contracting COVID-19 who are age 65 and older.”," May 21, 2020"
The novel coronavirus was “man-made.”," May 21, 2020"
“Half the workforce in the country may have just been idled” by coronavirus.," May 20, 2020"
"“Due to the large number of people who will refuse the forthcoming COVID-19 vaccine because it will include tracking microchips, the Gates Foundation is now spending billions to ensure that all medical and dental injections and procedures include the chips.”"," May 20, 2020"
"“VA Democrats authorized for early release over 4,000 inmates, 60% of which are incarcerated for violent offenses.”"," May 20, 2020"
"“On the Southern border, as you know, the wall is going up, it's going up very rapidly. We're at 182 miles.”"," May 20, 2020"
"Speaking about border apprehensions, said “We have some of the best numbers we've ever had. Southern border, the best numbers we've ever had.”"," May 20, 2020"
“Rogue” Michigan official sent absentee ballots to 7.7 million people “illegally and without authorization” ahead of the primaries and general election.," May 20, 2020"
"“A lot of people can get an additional $2,400” from the CARES Act “and they can do it every month!”"," May 20, 2020"
"Says GOP state Sen. Patrick Testin is responsible for lost $25M in federal funding, because he refused “to do his job.”"," May 20, 2020"
"“If you look at the one (hydroxychloroquine) survey, the only bad survey, they were giving it to people that were in very bad shape. They were very old. Almost dead.”"," May 20, 2020"
"If you paid rent in March or April, “they got to give” you your money back."," May 20, 2020"
“Bill Gates Explains That The COVID Vaccine Will Use Experimental Technology And Permanently Alter Your DNA”," May 20, 2020"
"All Missouri businesses can open Monday, May 4, under our new Order as long as new guidelines are followed."," May 20, 2020"
Says President Donald Trump is “morbidly obese.”," May 19, 2020"
Says “the feds closed the courtroom” when El Chapo started naming Democrats he paid off.," May 19, 2020"
"Says Gov. Tony Evers “is proposing a new plan, a 150 day shutdown of the state (5 MONTHS!) followed by a 120 day extension.”"," May 19, 2020"
"“Autopsies prove that COVID-19 is” a blood clot, not pneumonia, “and ought to be fought with antibiotics” and the whole world has been wrong in treating the “so-called” pandemic."," May 19, 2020"
“Gov. Wolf is not allowing companies that distribute U.S. flags to ship out orders to be placed at veteran’s graves for Memorial Day.”," May 19, 2020"
Says wearing face masks is more harmful to your health than going without one.," May 19, 2020"
"States like New York, Illinois and California have been vocal in their demands for funding to bail out their pension systems, which were failing long before the COVID-19 outbreak, and other programs that aren’t related to this crisis."," May 19, 2020"
Dr. Fauci says every American should be microchipped.," May 19, 2020"
Says kitchen worker in viral video is potentially spreading coronavirus by blowing into food containers.," May 19, 2020"
"If masks prevent coronavirus, governors would have given them to prison inmates instead of releasing them."," May 19, 2020"
Anthony Fauci was on the Clinton Foundation board for 20 years and “currently serves on Gates Foundation.”," May 19, 2020"
“Bill Gates admits his COVID-19 vaccine might kill nearly 1 million people.”," May 19, 2020"
“Hydroxychloroquine cures this ‘virus.’ It just so happens this is the treatment used for radiation sickness!!”," May 19, 2020"
"Hospitals get paid $750 for patients who die from the flu, $17,500 for COVID-19."," May 18, 2020"
"“Pelosi’s new coronavirus bill allows illegals to receive billions in relief funds in past, current, and future payments.”"," May 18, 2020"
"“Cannabis may stop coronavirus from infecting people, study finds.”"," May 18, 2020"
"Bill Gates worked to end livestock production, and is pushing lab grown meat."," May 18, 2020"
"Says only certain face masks are effective and others, such as cloth masks, are not."," May 18, 2020"
"Nancy Pelosi said, “if you accept a check from Trump, you might as well vote for him.”"," May 18, 2020"
"“Beachgoers trash Florida beaches with 13,000 pounds of litter after beaches reopen.”"," May 18, 2020"
Says Wisconsin has not had a spike in coronavirus cases that was “statistically significant related to the fact that they had voting.”," May 18, 2020"
“You have areas of Pennsylvania that are barely affected and [the governor wants] to keep them closed.”," May 18, 2020"
Says Gov Tony Evers’ administration deemed dentists non-essential," May 15, 2020"
"$100B contact tracing bill “is about controlling/tracking population, not about coronavirus.”"," May 15, 2020"
“(Retail) milk has gone up 7.5% since this time last year. The price farmers are paid has dropped 23%.”," May 15, 2020"
"“When you look at Wisconsin, in their largest city they normally have roughly 500 polling places. They just had their election a week ago, and they had five. That is ludicrous.”"," May 15, 2020"
“Clinton Foundation investigator Kenneth McCormick found dead.”," May 15, 2020"
A girl was “decapitated” in front of her parents by a Somali migrant. Media “covered up” the murder.," May 15, 2020"
"“It’s not that there’s a virus shield between Canada (4,500 deaths) and the U.S. (80,000 deaths). What exists is a difference in leadership.”"," May 15, 2020"
"“Since the reopening of (Georgia), we’ve seen our COVID rate skyrocket by 40%.”"," May 15, 2020"
"“Clearly, the Obama administration did not leave any kind of game plan for something like this.”"," May 14, 2020"
“Democrats introduce bill to ‘euthanize seniors’ to save Social Security.”," May 14, 2020"
93% of the (COVID-19) cases in the state of Illinois have come from Chicago.," May 14, 2020"
"Says Joe Biden said voting by mail is a way to “fundamentally change this country,” contradicting past statements by Barack Obama and Debbie Wasserman Schultz."," May 14, 2020"
