headline,date
"“[U.S. Rep. Conor Lamb] said he would NOT vote for [Nancy Pelosi] for Speaker, and did.”"," May 27, 2020"
"California Gov. Gavin Newsom “is sending Ballots to millions of people, anyone living in the state, no matter who they are or how they got there, will get one and the election is Rigged."," May 26, 2020"
Texas and Florida have a “balanced budget” while California is “in debt $54 billion and New York is “in debt $6.1 billion.”," May 26, 2020"
Ron Howard wrote a Facebook post about being a liberal.," May 26, 2020"
There are “many unanswered and obvious questions” about the 2001 death of a staff member of Joe Scarborough.," May 26, 2020"
Joe Biden tells voters he's 'going to beat Joe Biden.'," May 26, 2020"
"Amid the COVID-19 outbreak, “Minnesota now has the highest unemployment rate in U.S. history.”"," May 26, 2020"
"Hidden in the CARES Act was an obscure $135 billion tax break for 43,000 millionaires."," May 26, 2020"
“40% of the initial small business funds didn’t go to small businesses at all.”," May 26, 2020"
Trump re-signed 1952 law “making Muslamic law illegal”," May 22, 2020"
“Children don’t seem to be getting this virus”," May 22, 2020"
"“While California is dying … Gavin (Newsom) is vacationing in Stevensville, MT!”"," May 22, 2020"
“The COVID-19 future vaccine will come with the ID — a mark. The ID tells everyone you are free of COVID.”," May 22, 2020"
"Under three years of my administration, net farm income has already gone up nearly 50%."," May 22, 2020"
"Says if you're refused service at a store for not wearing a mask “call the department of health and report the store. Masks are suggested, not required.”"," May 22, 2020"
“The House Democrats snuck a provision into their $3 trillion bailout bill today that would keep the house in recess until July 21.”," May 22, 2020"
“Italian Parliament Calls For The Arrest of Bill Gates”," May 22, 2020"
A long list shows “new CDC guidelines for reopening schools.”," May 22, 2020"
“Getting access to a gun in America is easier than adopting a dog or registering to vote.”," May 22, 2020"
Says Joni Ernst claims she ‘pushed for’ new funding for hospitals and COVID-19 testing after opposing It for weeks.”," May 21, 2020"
"The U.S. had 44 CDC staffers “in China to observe what was going on. (President Trump) brought home the vast majority of them, I think left only four in place.”"," May 21, 2020"
Says it was a crime for Nixon to wiretap the Democrats at Watergate but OK for Obama to wiretap Republicans at Trump Tower.”," May 21, 2020"
"“If you have had a flu shot in the last 3-5 years, you will probably test positive” for COVID-19."," May 21, 2020"
A photo shows Donald Trump Jr. and Eric Trump.," May 21, 2020"
“80% of the people” want the option of vote by mail," May 21, 2020"
Says Ron Johnson and 36 other senators “voted for federal agencies to have access to your internet history without obtaining a warrant.”," May 21, 2020"
